Iteration; Energy; Damage
280;74.550.385;2.000.000
281;74.550.385;1.500.000
282;74.550.385;1.000.000
283;74.550.385; 0.500000
284;74.550.385; 0.000000
285;74.450.386; 0.000000
286;74.350.388; 0.000000
287;74.250.389; 0.000000
288;74.150.391; 0.000000
289;74.050.392; 0.000000
290;73.950.394; 0.000000
291;73.850.395; 0.000000
292;73.750.397; 0.000000
293;73.650.398; 0.000000
294;73.550.400; 0.000000
295;73.450.401; 0.000000
296;73.350.403; 0.000000
297;73.250.404; 0.000000
298;73.150.406; 0.000000
299;73.050.407; 0.000000
300;72.950.409; 0.000000
301;72.850.410; 0.000000
302;72.750.412; 0.000000
303;72.650.414; 0.000000
304;72.550.415; 0.000000
305;72.450.417; 0.000000
306;72.350.418; 0.000000
307;72.250.420; 0.000000
308;72.150.421; 0.000000
309;72.050.423; 0.000000
310;71.950.424; 0.000000
311;71.850.426; 0.000000
312;71.750.427; 0.000000
313;71.650.429; 0.000000
314;71.550.430; 0.000000
315;71.450.432; 0.000000
316;71.350.433; 0.000000
317;71.250.435; 0.000000
318;71.150.436; 0.000000
319;71.050.438; 0.000000
320;70.950.439; 0.000000
321;70.850.441; 0.000000
322;70.750.443; 0.000000
323;70.650.444; 0.000000
324;70.550.446; 0.000000
325;70.450.447; 0.000000
326;70.350.449; 0.000000
327;70.250.450; 0.000000
328;70.150.452; 0.000000
329;70.050.453; 0.000000
330;69.950.455; 0.000000
331;69.850.456; 0.000000
332;69.750.458; 0.000000
333;69.650.459; 0.000000
334;69.550.461; 0.000000
335;69.450.462; 0.000000
336;69.350.464; 0.000000
337;69.250.465; 0.000000
338;69.150.467; 0.000000
339;69.050.468; 0.000000
340;68.950.470; 0.000000
341;68.850.471; 0.000000
342;68.750.473; 0.000000
343;68.650.475; 0.000000
344;68.550.476; 0.000000
345;68.450.478; 0.000000
346;68.350.479; 0.000000
347;68.250.481; 0.000000
348;68.150.482; 0.000000
349;68.050.484; 0.000000
350;67.950.485; 0.000000
351;67.850.487; 0.000000
352;67.750.488; 0.000000
353;67.650.490; 0.000000
354;67.550.491; 0.000000
355;67.450.493; 0.000000
356;67.350.494; 0.000000
357;67.250.496; 0.000000
358;67.150.497; 0.000000
359;67.050.499; 0.000000
360;66.950.500; 0.000000
361;66.850.502; 0.000000
362;66.750.504; 0.000000
363;66.650.505; 0.000000
364;66.550.507; 0.000000
365;66.450.508; 0.000000
366;66.350.510; 0.000000
367;66.250.511; 0.000000
368;66.150.513; 0.000000
369;66.050.514; 0.000000
370;65.950.516; 0.000000
371;65.850.517; 0.000000
372;65.750.519; 0.000000
373;65.650.520; 0.000000
374;65.550.522; 0.000000
375;65.450.523; 0.000000
376;65.350.525; 0.000000
377;65.250.526; 0.000000
378;65.150.528; 0.000000
379;65.050.529; 0.000000
380;64.950.531; 0.000000
381;64.850.533; 0.000000
382;64.750.534; 0.000000
383;64.650.536; 0.000000
384;64.550.537; 0.000000
385;64.450.539; 0.000000
386;64.350.540; 0.000000
387;64.250.542; 0.000000
388;64.150.543; 0.000000
389;64.050.545; 0.000000
390;63.950.546; 0.000000
391;63.850.548; 0.000000
392;63.750.549; 0.000000
393;63.650.551; 0.000000
394;63.550.552; 0.000000
395;63.450.554; 0.000000
396;63.350.555; 0.000000
397;63.250.557; 0.000000
398;63.150.558; 0.000000
